,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
261,4,1.0,2.0,3,100.00,500.00,50.00,12,98,10.0,10.0,10.0,10.0,10.0
262,1,1.0,1.0,1,40.00,350.00,35.00,7,94,8.0,10.0,9.0,9.0,10.0
263,6,1.0,2.0,4,160.00,500.00,20.00,30,98,10.0,10.0,10.0,10.0,10.0
264,2,1.0,1.0,1,55.00,,,64,94,10.0,10.0,10.0,10.0,10.0
265,3,1.0,1.0,2,55.00,300.00,30.00,16,93,9.0,10.0,10.0,10.0,10.0
266,6,1.0,2.0,2,95.00,200.00,50.00,17,93,10.0,10.0,10.0,9.0,9.0
267,4,1.0,2.0,2,155.00,500.00,100.00,1,80,8.0,10.0,10.0,10.0,8.0
268,2,1.0,1.0,1,55.00,,25.00,17,99,10.0,10.0,10.0,10.0,10.0
269,1,1.0,1.0,1,40.00,350.00,35.00,4,95,9.0,10.0,10.0,8.0,10.0
270,7,2.0,3.0,5,250.00,400.00,100.00,4,93,9.0,10.0,10.0,10.0,9.0
271,2,1.0,0.0,1,145.00,150.00,50.00,44,96,10.0,10.0,10.0,10.0,9.0
272,2,1.0,1.0,1,54.00,,15.00,100,91,9.0,10.0,10.0,10.0,9.0
273,8,3.0,3.0,3,254.00,300.00,125.00,70,97,10.0,10.0,10.0,10.0,9.0
274,3,1.0,0.0,2,100.00,200.00,45.00,84,97,10.0,10.0,10.0,10.0,10.0
275,2,1.0,1.0,1,65.00,500.00,10.00,36,99,10.0,10.0,10.0,10.0,10.0
276,4,1.0,2.0,2,150.00,500.00,60.00,86,99,10.0,10.0,10.0,10.0,10.0
277,3,1.0,1.0,2,45.00,250.00,20.00,15,97,9.0,10.0,10.0,10.0,10.0
278,3,1.0,1.0,2,74.00,100.00,15.00,18,89,9.0,10.0,9.0,9.0,9.0
