accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
8,2.0,3.0,3,295.00,300.00,95.00,41,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,90.00,200.00,40.00,52,93,9.0,10.0,9.0,10.0,9.0
2,1.0,0.0,1,85.00,100.00,8.00,5,88,10.0,10.0,10.0,10.0,9.0
1,1.0,1.0,1,40.00,350.00,35.00,3,80,6.0,9.0,10.0,9.0,8.0
2,1.5,1.0,1,40.00,150.00,20.00,32,96,9.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,130.00,350.00,50.00,2,90,10.0,10.0,10.0,8.0,9.0
4,1.5,3.0,2,210.00,,100.00,6,93,9.0,10.0,10.0,10.0,9.0
6,2.5,2.0,3,439.00,399.00,99.00,11,91,9.0,10.0,10.0,10.0,9.0
3,1.0,1.0,1,95.00,100.00,82.00,13,90,10.0,9.0,9.0,10.0,10.0
4,1.0,2.0,3,109.00,100.00,60.00,36,99,10.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1,40.00,350.00,28.00,5,88,7.0,9.0,9.0,9.0,9.0
4,1.0,2.0,1,175.00,100.00,75.00,4,95,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,80.00,100.00,40.00,69,96,10.0,10.0,10.0,10.0,10.0
4,1.0,2.0,3,100.00,500.00,50.00,12,98,10.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1,40.00,350.00,35.00,7,94,8.0,10.0,9.0,9.0,10.0
6,1.0,2.0,4,160.00,500.00,20.00,30,98,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,55.00,,,64,94,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,55.00,300.00,30.00,16,93,9.0,10.0,10.0,10.0,10.0
6,1.0,2.0,2,95.00,200.00,50.00,17,93,10.0,10.0,10.0,9.0,9.0
4,1.0,2.0,2,155.00,500.00,100.00,1,80,8.0,10.0,10.0,10.0,8.0
2,1.0,1.0,1,55.00,,25.00,17,99,10.0,10.0,10.0,10.0,10.0
1,1.0,1.0,1,40.00,350.00,35.00,4,95,9.0,10.0,10.0,8.0,10.0
7,2.0,3.0,5,250.00,400.00,100.00,4,93,9.0,10.0,10.0,10.0,9.0
2,1.0,0.0,1,145.00,150.00,50.00,44,96,10.0,10.0,10.0,10.0,9.0
2,1.0,1.0,1,54.00,,15.00,100,91,9.0,10.0,10.0,10.0,9.0
8,3.0,3.0,3,254.00,300.00,125.00,70,97,10.0,10.0,10.0,10.0,9.0
3,1.0,0.0,2,100.00,200.00,45.00,84,97,10.0,10.0,10.0,10.0,10.0
2,1.0,1.0,1,65.00,500.00,10.00,36,99,10.0,10.0,10.0,10.0,10.0
4,1.0,2.0,2,150.00,500.00,60.00,86,99,10.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,45.00,250.00,20.00,15,97,9.0,10.0,10.0,10.0,10.0
3,1.0,1.0,2,74.00,100.00,15.00,18,89,9.0,10.0,9.0,9.0,9.0
